ID;0.5kHz-dB-R;0.5kHz-upplevd-R;0.5kHz-dB-L;0.5kHz-upplevd-L;4kHz-dB-R;4kHz-upplevd-R;4kHz-dB-L;4kHz-upplevd-L
1;52;3;21;1;60;3;58;3
1;7;1;29;1;51;2;21;2
1;34;2;47;3;45;2;3;1
1;50;3;66;4;62;3;16;2
1;57;4;76;5;50;3;10;2
1;65;4;28;2;3;1;32;3
1;81;5;39;2;27;2;15;2
1;64;3;70;4;17;1;65;4
1;66;3;64;3;42;2;66;4
1;61;3;22;2;67;4;71;5
1;30;2;33;2;2;1;2;1
1;9;1;53;3;65;4;28;2
1;45;2;51;3;48;3;31;2
1;76;4;14;1;42;2;53;3
1;49;3;38;2;10;1;38;3
1;43;2;2;1;26;2;7;1
1;34;2;57;3;70;5;14;2
1;7;1;58;3;50;3;34;3
1;12;1;18;2;48;3;12;1
1;71;4;45;3;80;5;66;4
1;37;2;46;3;20;1;18;2
1;29;2;63;4;3;1;14;1
1;57;3;73;5;28;2;28;3
1;29;2;62;3;11;1;47;2
1;23;1;70;4;56;4;59;3
1;23;1;70;4;3;1;20;1
1;50;3;39;2;35;2;38;3
1;22;1;27;2;31;2;78;5
1;19;1;26;2;64;4;61;3
1;15;1;75;4;12;1;25;2
2;7;1;22;1;79;4;31;1
2;8;1;73;3;41;1;19;1
2;53;2;58;3;53;2;27;1
2;87;5;81;4;29;1;40;2
2;79;4;55;2;83;4;2;1
2;3;1;79;4;30;1;71;3
2;43;2;56;3;78;3;18;1
2;26;1;70;3;1;1;11;1
2;1;1;51;2;64;2;1;1
2;28;1;67;3;26;1;16;1
2;63;3;65;3;30;1;62;3
2;59;3;72;3;2;1;83;5
2;46;3;0;1;7;1;35;2
2;19;1;57;2;74;3;31;2
2;40;1;40;1;71;3;44;2
2;6;1;32;1;45;2;75;3
2;55;3;72;4;15;1;4;1
2;24;1;62;3;83;5;44;1
2;30;2;59;3;42;2;63;2
2;58;3;15;1;43;2;39;2
2;30;2;36;1;65;3;50;2
2;11;1;9;1;26;2;13;1
2;43;2;27;1;77;4;1;1
2;78;4;36;1;49;2;54;3
2;68;4;87;4;37;2;73;4
2;72;4;42;1;52;3;35;2
2;25;1;26;1;41;2;69;4
2;2;1;57;2;84;4;22;1
2;60;3;27;1;57;3;12;1
2;78;4;69;3;13;1;14;1
3;49;2;31;1;44;1;74;4
3;37;1;79;5;40;1;67;3
3;70;4;89;5;67;3;57;2
3;37;1;75;4;73;4;68;3
3;72;3;47;2;50;1;60;2
3;81;4;55;2;54;1;59;2
3;68;3;41;1;63;2;70;3
3;39;1;90;5;58;2;43;1
3;59;2;89;5;59;2;73;4
3;74;4;85;5;54;1;55;1
3;67;3;81;4;52;1;43;1
3;56;2;78;4;75;4;61;3
3;76;4;71;3;55;2;62;3
3;33;1;48;1;75;4;68;3
3;70;3;79;4;59;2;66;3
3;49;2;84;5;63;3;64;3
3;31;1;85;5;47;1;73;4
3;78;4;86;5;41;1;55;1
3;51;2;59;2;48;1;63;2
3;57;2;49;1;60;2;58;3
3;55;2;34;1;57;2;72;4
3;66;3;60;2;59;2;59;2
3;45;1;66;3;43;1;45;1
3;38;1;35;1;56;1;42;1
3;71;4;38;1;46;1;63;3
3;74;5;35;1;75;4;45;1
3;45;1;89;5;41;1;56;1
3;67;2;59;3;56;3;79;5
3;84;5;84;4;46;1;41;1
3;45;1;67;3;65;3;79;5
4;54;3;46;3;4;1;64;4
4;55;3;26;2;18;2;40;3
4;72;4;35;3;24;2;45;3
4;77;5;75;5;2;1;36;2
4;36;2;87;5;1;1;63;4
4;3;1;50;3;66;4;29;2
4;54;3;23;1;12;1;41;3
4;8;1;17;1;51;3;16;1
4;72;4;77;4;65;4;44;3
4;70;4;72;4;68;4;-1;1
4;34;2;27;1;42;2;64;4
4;18;1;62;3;47;2;64;4
4;38;3;26;1;20;1;73;5
4;31;2;62;3;46;3;69;4
4;61;4;57;3;3;1;21;1
4;31;2;4;1;62;3;0;1
4;67;4;-2;1;47;2;50;3
4;9;1;53;3;30;2;63;4
4;43;3;-9;1;28;2;11;1
4;53;3;89;5;40;2;19;1
4;35;2;-3;1;25;1;0;1
4;25;1;64;3;34;2;23;2
4;81;5;4;1;71;4;85;5
4;13;1;82;4;71;4;25;2
4;76;5;36;2;64;3;40;2
4;34;2;42;3;51;2;34;2
4;58;3;32;2;58;3;33;2
4;32;2;1;1;58;3;13;1
4;60;4;71;4;61;3;13;1
4;55;3;33;2;62;3;37;2
5;75;3;62;2;30;1;46;1
5;39;1;59;1;56;2;74;5
5;37;1;46;1;32;2;78;5
5;32;1;35;1;15;1;46;1
5;88;5;79;4;4;1;45;1
5;42;1;13;1;11;1;77;5
5;40;1;27;1;71;4;73;5
5;6;1;32;1;10;1;80;5
5;24;1;67;3;59;3;80;5
5;90;5;24;1;36;2;51;1
5;49;2;30;1;39;2;54;1
5;70;3;13;1;74;5;57;2
5;45;1;31;1;19;1;57;2
5;88;5;36;2;14;1;73;4
5;5;1;37;2;11;1;53;1
5;82;3;77;4;11;1;45;1
5;85;4;39;1;23;1;65;3
5;38;1;66;2;24;1;76;5
5;75;3;7;1;54;3;82;5
5;89;5;42;1;60;3;82;5
5;45;1;21;1;20;1;74;3
5;27;1;14;1;63;3;47;1
5;87;4;8;1;19;1;62;2
5;24;1;57;2;22;1;68;2
5;34;1;89;5;5;1;55;1
5;7;1;55;2;53;2;85;5
5;28;1;34;1;58;3;65;2
5;9;1;52;2;63;4;73;3
5;19;1;85;5;78;5;71;3
5;89;4;15;1;58;2;45;1
